Title,Location,Link
Machine Learning Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Malaysia-Penang/Machine-Learning-Engineer_JR0271988-1?q=Machine+learning
Full Stack Software Developer & Machine Learning Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Costa-Rica-San-Jose/Full-Stack-Software-Developer---Machine-Learning-Engineer_JR0269204-1?q=Machine+learning
Foundational AI Research Scientist Intel contract employee,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Virtual-US/Foundational-AI-Research-Scientist-Intel-contract-employee_JR0273082?q=Machine+learning
AI SW Architect,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/US-Oregon-Hillsboro/AI-SW-Architect_JR0273675?q=Machine+learning
AI Software Tools Team Leader,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Israel-Tel-Aviv/AI-Software-Tools-Team-Leader_JR0270352?q=Machine+learning
NPU Compiler Developer (C++),"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Poland-Gdansk/NPU-Compiler-Developer--C---_JR0270522?q=Machine+learning
AI SW Performance Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Poland-Gdansk/AI-SW-Performance-Engineer_JR0269619-1?q=Machine+learning
NPU SW/HW Validation Engineer (Power Measurements),"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Poland-Gdansk/NPU-SW-HW-Validation-Engineer--Power-Measurements-_JR0272351?q=Machine+learning
AI Software development engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Romania-Timisoara/AI-Software-development-engineer_JR0273480?q=Machine+learning
Foundational AI Research Intern,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Virtual-US/Foundational-AI-Research-Intern_JR0271247?q=Machine+learning
SW CI (Embedded) Team Leader,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Israel-Caesarea/SW-Embedded--Kernel--Team-Leader_JR0267041?q=Machine+learning
Senior Formal Verification Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Israel-Tel-Aviv/Formal-Engineer_JR0266588-1?q=Machine+learning
Experienced DFT Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Israel-Tel-Aviv/Experienced-DFT-Engineer_JR0272026?q=Machine+learning
Research Scientist Intern – ML in Graphics,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Virtual-US/Research-Scientist-Intern---ML-in-Graphics_JR0273359-1?q=Machine+learning
AI Software Solutions Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Poland-Gdansk/AI-Software-Solutions-Engineer_JR0270874?q=Machine+learning
AI Software Solutions Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Poland-Gdansk/AI-Software-Solutions-Engineer_JR0270875-1?q=Machine+learning
Software Engineering Team Lead,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Israel-Haifa/Software-Engineering-Manager_JR0271806?q=Machine+learning
AI/ML Technologist,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/India-Bangalore/AI-ML-Technologist_JR0272095?q=Machine+learning
Sr. Data Governance Advisor,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/Virtual-Costa-Rica/Sr-Data-Governance-Advisor_JR0273213?q=Machine+learning
AI Software Simulation Engineer,"© 2025 Workday, Inc. All rights reserved.",https://intel.wd1.myworkdayjobs.com/en-US/External/job/India-Bangalore/AI-Software-Simulation-Engineer_JR0273501?q=Machine+learning
