Title,Location,Department,Link,Description,Company
"Machine Learning Engineer, Motion Planning, Self-Driving",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-motion-planning-self-driving-221945,Skip to main content,Tesla
"Machine Learning Engineer, Geometric Vision, Self-Driving",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-geometric-vision-self-driving-226545,Skip to main content,Tesla
"Sr. Machine Learning Engineer, Navigation, Optimus",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-machine-learning-engineer-navigation-optimus-222388,Skip to main content,Tesla
"Machine Learning Engineer, Reliability Engineering",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-reliability-engineering-238827,Skip to main content,Tesla
"Machine Learning Hardware Performance Engineer, Self-Driving Hardware",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-hardware-performance-engineer-self-driving-hardware-238555,Skip to main content,Tesla
"Sr. Machine Learning Engineer, Autobidder",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-machine-learning-engineer-autobidder-237851,Skip to main content,Tesla
"Sr. Site Reliability Engineer, Machine Learning Operations, Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-site-reliability-engineer-machine-learning-operations-infrastructure-236278,Skip to main content,Tesla
"Fullstack Software Engineer, Machine Learning Platform, AI Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/fullstack-software-engineer-machine-learning-platform-ai-infrastructure-235861,Skip to main content,Tesla
"Backend Software Engineer, Machine Learning Platform, AI Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/backend-software-engineer-machine-learning-platform-ai-infrastructure-235859,Skip to main content,Tesla
"Software Engineer, AI Networking, Machine Learning Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/software-engineer-ai-networking-machine-learning-infrastructure--235858,Skip to main content,Tesla
"Machine Learning Engineer, Integration, AI Platforms",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-integration-ai-platforms--235833,Skip to main content,Tesla
"Staff Machine Learning Engineer, Autobidder",Not specified,Not specified,https://www.tesla.com/careers/search/job/staff-machine-learning-engineer-autobidder-235190,Skip to main content,Tesla
"Sr. Machine Learning Infrastructure Engineer, Optimus",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-machine-learning-infrastructure-engineer-optimus-231772,Skip to main content,Tesla
