Title,Location,Department,Link
"Machine Learning Engineer, Motion Planning, Self-Driving",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-motion-planning-self-driving-221945
"Machine Learning Engineer, Geometric Vision, Self-Driving",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-geometric-vision-self-driving-226545
"Sr. Machine Learning Engineer, Navigation, Optimus",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-machine-learning-engineer-navigation-optimus-222388
"Machine Learning Engineer, Reliability Engineering",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-reliability-engineering-238827
"Machine Learning Hardware Performance Engineer, Self-Driving Hardware",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-hardware-performance-engineer-self-driving-hardware-238555
"Sr. Machine Learning Engineer, Autobidder",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-machine-learning-engineer-autobidder-237851
"Sr. Site Reliability Engineer, Machine Learning Operations, Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-site-reliability-engineer-machine-learning-operations-infrastructure-236278
"Fullstack Software Engineer, Machine Learning Platform, AI Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/fullstack-software-engineer-machine-learning-platform-ai-infrastructure-235861
"Backend Software Engineer, Machine Learning Platform, AI Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/backend-software-engineer-machine-learning-platform-ai-infrastructure-235859
"Software Engineer, AI Networking, Machine Learning Infrastructure",Not specified,Not specified,https://www.tesla.com/careers/search/job/software-engineer-ai-networking-machine-learning-infrastructure--235858
"Machine Learning Engineer, Integration, AI Platforms",Not specified,Not specified,https://www.tesla.com/careers/search/job/machine-learning-engineer-integration-ai-platforms--235833
"Staff Machine Learning Engineer, Autobidder",Not specified,Not specified,https://www.tesla.com/careers/search/job/staff-machine-learning-engineer-autobidder-235190
"Sr. Machine Learning Infrastructure Engineer, Optimus",Not specified,Not specified,https://www.tesla.com/careers/search/job/sr-machine-learning-infrastructure-engineer-optimus-231772
